VC_dum,PE_dum,VC_or_PE_dum,Rev_share_w_TP,TP_chgs_per_head,TP_recruiting,TP_course_dev,TP_instruction,Expansion,Captivity,invisible_1,invisible_2,invisible_3,no_rs_ph,LMS,Institution,Provider,For_Profit,V_PC_None,Start_mo_contract,Start_yr_contract,Term_primary_contract,First_start_date_any,Last_start_date_any,End_date_last_contract,Visible,Captivity_AR_INDEF,Online_homepage,Amount_of_contract,Rev_share_percent,NoVCPE_dum,Visiblerc,invisible_4,provider_rc,cat_termofcontract
"Yes","No","Yes",1,0,1,0,0,0,0,,,,"No","No","American Distance Education Consortium (ADEC)","Apollidon",1,1,7,2010,2,2010,2010,2012,-888,0,"[ALERT: THIS CONSORTIUM APPEARS TO BE DEFUNCT. NO WEBPAGE AT ALL]","",".4","No",,,"Apollidon","Between 1 and 4 years"
"No","Yes","Yes",1,0,1,1,0,0,1,"Yes","Yes","No","No","No","Alabama State University","Kaplan",1,2,8,2014,888,2014,2014,2021,0,1,"https://www.alasu.edu/academics/division-extended-learning-online-programs","","","No",0,"No","Kaplan","Indefinite"
"No","Yes","Yes",0,1,1,1,0,0,0,"Yes","Yes","No","No","No","Albany State University","The Learning House",1,2,1,2013,1,2013,2013,2014,0,0,"https://www.asurams.edu/academic-affairs/distance-learning/index.php","","$100 or $300 per enrollment in particular 3 credit courses; $20.00 per enrollment for 3 credit hour courses in Certificate programs","No",0,"No","The Learning House","1 year"
"No","No","No",0,1,1,1,1,0,1,"No","No","No","No","No","Arizona State University","Pearson",1,0,1,2015,3.5,2010,2016,2018,2,1,"https://asuonline.asu.edu/","","Minimum declared revenue per student credit hour is $480--pg. 12. Page 13 has formula for calculation for student fees for managed programs courses, which includes "a volume factor." Huge incentive to increase student credit hours and Pearson controls marketing/recruitment.","Yes",2,"No","Pearson","Between 1 and 4 years"
"Yes","No","Yes",1,0,0,0,0,0,0,"No","No","No","No","No","Arizona State University","Coursera",1,1,8,2015,5,2015,2015,2020,2,0,"https://asuonline.asu.edu/","","Although the amount of rev share is redacted, on page 6 contract reads" To the extent ASU generates revenue directly from Learners (other than Registered Students) through the offering of Courses on the Platform, ASU aggress to provide Coursera with a percentage of revenue recieved, as mutually agreed to by the Parties in an addendum to this Agreement, unless otherwise agreed." Note this is not rev share on ASU students. Page 14 indicates "Revenue Share" and "Coursera Monetization Model"","No",2,"No","Coursera","Between 5 and 9 years"
"Yes","No","Yes",1,0,1,1,0,0,1,"No","No","No","No","No","Auburn University","Everspring",1,1,2,2014,5,2014,2014,2019,2,0,"https://www.auburn.edu/online/","","Ranges from 40%-50%","No",2,"No","Everspring","Between 5 and 9 years"
"No","Yes","Yes",0,0,0,0,0,0,1,,,,"Yes","Yes","Ball State University","Blackboard",1,2,6,2013,1,2001,2013,2018,-999,1,"https://www.bsu.edu/academics/collegesanddepartments/online","see page 15 for annual totals","","No",,,"Blackboard","1 year"
"No","Yes","Yes",0,0,0,1,1,0,1,"Yes","Yes","No","Yes","No","Black Hawk College","Edmentum",1,2,4,2017,1,2015,2019,2020,0,0,"https://www.bhc.edu/academics/online-learning-at-bhc/","Annual totals for courses ~20K over time","","No",0,"No","Edmentum","1 year"
"No","Yes","Yes",1,0,0,1,1,0,1,"No","No","No","No","No","Black Hawk College","Ed2Go",1,2,2,2006,888,2006,2006,2016,2,1,"https://www.bhc.edu/academics/online-learning-at-bhc/","","For each verified enrollee, Partner shall pay Education To Go 80% of the retail price paid by enrollee.","No",2,"No","Ed2Go","Indefinite"
"No","No","No",0,0,0,0,0,1,1,,,,"Yes","No","Black Hawk College","Pearson",1,0,6,2018,3,2017,2018,2021,-999,1,"https://www.bhc.edu/academics/online-learning-at-bhc/","","","Yes",,,"Pearson","Between 1 and 4 years"
