unitid,control,year,efdeexc
100636,1,2012,
100636,-3,2014,
100654,1,2012,0
100654,1,2013,0
100654,1,2014,26
100654,1,2015,45
100654,1,2016,54
100654,1,2017,121
100654,1,2018,120
100654,1,2019,102
100654,1,2020,1869
100663,1,2012,2761
100663,1,2013,3455
100663,1,2014,3680
100663,1,2015,3712
100663,1,2016,4428
100663,1,2017,4917
100663,1,2018,5603
100663,1,2019,5736
100663,1,2020,6346
100690,2,2012,703
100690,2,2013,631
100690,2,2014,625
100690,2,2015,627
100690,2,2016,597
100690,2,2017,670
100690,2,2018,755
100690,2,2019,833
100690,2,2020,775
100706,1,2012,267
100706,1,2013,236
100706,1,2014,269
100706,1,2015,379
100706,1,2016,449
100706,1,2017,497
100706,1,2018,638
100706,1,2019,747
100706,1,2020,5033
100724,1,2012,0
100724,1,2013,92
100724,1,2014,88
100724,1,2015,310
100724,1,2016,383
100724,1,2017,395
100724,1,2018,437
100724,1,2019,57
100724,1,2020,1485
100733,1,2012,
100733,1,2013,
100733,1,2014,
100733,1,2015,
100733,1,2016,
100733,1,2017,
100733,1,2018,
100733,1,2019,
100733,1,2020,
100751,1,2012,2960
100751,1,2013,3282
100751,1,2014,3082
100751,1,2015,3394
100751,1,2016,3627
100751,1,2017,4100
100751,1,2018,3786
100751,1,2019,4515
100751,1,2020,7517
100760,1,2012,127
100760,1,2013,95
100760,1,2014,74
100760,1,2015,91
100760,1,2016,121
100760,1,2017,108
100760,1,2018,139
100760,1,2019,170
100760,1,2020,1149
100812,1,2012,1270
100812,1,2013,1633
100812,1,2014,1643
100812,1,2015,1669
100812,1,2016,1724
100812,1,2017,1951
100812,1,2018,2049
100812,1,2019,1996
100812,1,2020,1722
100830,1,2012,244
100830,1,2013,367
100830,1,2014,297
100830,1,2015,305
100830,1,2016,325
100830,1,2017,403
100830,1,2018,610
100830,1,2019,642
100830,1,2020,881
100858,1,2012,683
100858,1,2013,670
100858,1,2014,954
100858,1,2015,1143
100858,1,2016,1209
100858,1,2017,1260
100858,1,2018,1508
100858,1,2019,1696
100858,1,2020,2210
100937,2,2012,
100937,2,2013,
100937,2,2014,
100937,2,2015,
100937,2,2016,
100937,2,2017,
100937,2,2018,0
100937,2,2019,0
100937,2,2020,3
101028,1,2012,29
101028,1,2013,17
101028,1,2014,20
101028,1,2015,32
101028,1,2016,36
101028,1,2017,33
101028,1,2018,60
101028,1,2019,88
101028,1,2020,451
101073,2,2012,0
101073,2,2013,0
101073,2,2014,0
101073,2,2015,0
101073,2,2016,0
101073,2,2017,0
101073,2,2018,
101116,3,2012,0
101116,3,2013,0
101116,3,2014,0
101116,3,2015,0
101116,3,2016,0
101116,3,2017,0
101116,3,2018,0
101116,3,2019,0
101116,3,2020,149
101143,1,2012,131
101143,1,2013,137
101143,1,2014,132
101143,1,2015,192
101143,1,2016,243
101143,1,2017,210
101143,1,2018,179
101143,1,2019,228
101143,1,2020,602
101161,1,2012,255
101161,1,2013,241
101161,1,2014,290
101161,1,2015,251
101161,1,2016,532
101161,1,2017,69
101161,1,2018,836
101161,1,2019,805
101161,1,2020,1251
101189,2,2012,147
101189,2,2013,325
101189,2,2014,411
101189,2,2015,668
101189,2,2016,871
101189,2,2017,993
101189,2,2018,1124
101189,2,2019,1147
101189,2,2020,1284
101240,1,2012,480
101240,1,2013,447
101240,1,2014,385
101240,1,2015,506
101240,1,2016,627
101240,1,2017,598
101240,1,2018,746
101240,1,2019,755
101240,1,2020,1439
101277,3,2012,0
101277,3,2013,0
101277,3,2014,0
101277,3,2015,
101277,3,2016,
101277,3,2017,
101277,3,2018,
101277,3,2019,
101277,3,2020,
101286,1,2012,175
101286,1,2013,199
101286,1,2014,225
101286,1,2015,238
101286,1,2016,228
101286,1,2017,256
101286,1,2018,347
101286,1,2019,412
101286,1,2020,802
101295,1,2012,3
101295,1,2013,477
101295,1,2014,505
101295,1,2015,616
101295,1,2016,675
101295,1,2017,654
101295,1,2018,641
101295,1,2019,711
101295,1,2020,728
101301,1,2012,377
101301,1,2013,369
101301,1,2014,390
101301,1,2015,370
101301,1,2016,401
101301,1,2017,284
101301,1,2018,356
101301,1,2019,276
101301,1,2020,448
101365,3,2012,58
101365,3,2013,55
101365,3,2014,48
101365,3,2015,0
101365,3,2016,163
101365,2,2017,176
101365,2,2018,228
101365,2,2019,227
101365,2,2020,228
101435,2,2012,0
101435,2,2013,0
101435,2,2014,0
101435,2,2015,
101435,2,2016,0
101435,2,2017,0
101435,2,2018,0
101435,2,2019,0
101435,2,2020,0
101453,2,2012,54
101453,2,2013,62
101453,2,2014,38
101453,2,2015,45
101453,2,2016,50
101453,2,2017,13
101453,2,2018,38
101453,2,2019,55
101453,2,2020,82
101462,1,2012,2
101462,1,2013,9
101462,1,2014,0
101462,1,2015,0
101462,1,2016,42
101462,1,2017,47
101462,1,2018,64
101462,1,2019,69
101462,1,2020,194
101471,1,2012,
101471,1,2013,
101471,1,2014,
101471,1,2015,
101471,1,2016,
101471,1,2017,
101471,1,2018,
101471,1,2019,
101471,1,2020,
101480,1,2012,1665
101480,1,2013,1616
101480,1,2014,1575
101480,1,2015,1402
101480,1,2016,1632
101480,1,2017,1699
101480,1,2018,1782
101480,1,2019,1914
101480,1,2020,2726
101499,1,2012,36
101499,1,2013,33
101499,1,2014,38
101499,1,2015,33
101499,1,2016,45
101499,1,2017,6
101499,1,2018,
101505,1,2012,1157
101505,1,2013,1120
101505,1,2014,1238
101505,1,2015,1257
101505,1,2016,1402
101505,1,2017,1431
101505,1,2018,1447
101505,1,2019,1401
101505,1,2020,6220
101514,1,2012,774
101514,1,2013,1239
101514,1,2014,1691
101514,1,2015,1728
101514,1,2016,1668
101514,1,2017,1915
101514,1,2018,1933
101514,1,2019,1933
101514,1,2020,5798
101541,2,2012,63
101541,2,2013,76
101541,2,2014,88
101541,2,2015,82
101541,2,2016,0
101541,2,2017,36
101541,2,2018,41
101541,2,2019,50
101541,2,2020,47
101569,1,2012,45
101569,1,2013,86
101569,1,2014,157
101569,1,2015,226
101569,1,2016,214
101569,1,2017,229
101569,1,2018,167
101569,1,2019,257
101569,1,2020,2065
101587,1,2012,2677
101587,1,2013,2286
101587,1,2014,1999
101587,1,2015,2059
101587,1,2016,1990
101587,1,2017,2299
101587,1,2018,3374
101587,1,2019,4018
101587,1,2020,4165
101602,1,2012,95
101602,1,2013,32
101602,1,2014,37
101602,1,2015,37
101602,1,2016,60
101602,1,2017,89
101602,1,2018,105
101602,1,2019,174
101602,1,2020,221
101648,1,2012,
101648,1,2013,
101648,1,2014,
101648,1,2015,
101648,1,2016,
101648,1,2017,
101648,1,2018,
101648,1,2019,
101648,1,2020,0
101675,2,2012,
101675,2,2013,
101675,2,2014,
101675,2,2015,
101675,2,2016,
101675,2,2017,24
101675,2,2018,49
101675,2,2019,41
101675,2,2020,71
101693,2,2012,16
101693,2,2013,16
101693,2,2014,23
101693,2,2015,58
101693,2,2016,164
101693,2,2017,147
101693,2,2018,198
101693,2,2019,195
101693,2,2020,250
101709,1,2012,1
101709,1,2013,1
101709,1,2014,1
101709,1,2015,21
101709,1,2016,1
101709,1,2017,1
101709,1,2018,21
101709,1,2019,21
101709,1,2020,417
101736,1,2012,69
101736,1,2013,73
101736,1,2014,122
101736,1,2015,176
101736,1,2016,230
101736,1,2017,255
101736,1,2018,422
101736,1,2019,346
101736,1,2020,560
101879,1,2012,808
101879,1,2013,890
101879,1,2014,924
101879,1,2015,1035
101879,1,2016,1104
101879,1,2017,1140
101879,1,2018,1617
101879,1,2019,2031
101879,1,2020,3081
101897,1,2012,286
101897,1,2013,293
101897,1,2014,251
101897,1,2015,241
101897,1,2016,281
101897,1,2017,396
101897,1,2018,433
101897,1,2019,558
101897,1,2020,1549
101912,2,2012,
101912,2,2013,
101912,2,2014,0
101912,2,2015,10
101912,2,2016,57
101912,2,2017,36
101912,2,2018,148
101912,2,2019,123
101912,2,2020,69
101949,1,2012,14
101949,1,2013,18
101949,1,2014,28
101949,1,2015,25
101949,1,2016,39
101949,1,2017,3
101949,1,2018,
101958,3,2012,
101958,3,2013,82
101958,3,2014,68
101958,3,2015,25
101958,3,2016,10
101958,3,2017,
101994,1,2012,0
101994,1,2013,0
101994,1,2014,0
101994,1,2015,0
101994,1,2016,0
101994,1,2017,
101994,1,2018,
101994,1,2019,
101994,1,2020,
102030,1,2012,114
102030,1,2013,62
102030,1,2014,72
102030,1,2015,83
102030,1,2016,102
102030,1,2017,86
102030,1,2018,51
102030,1,2019,47
102030,1,2020,673
102049,2,2012,207
102049,2,2013,230
102049,2,2014,340
102049,2,2015,574
102049,2,2016,698
102049,2,2017,757
102049,2,2018,651
102049,2,2019,588
102049,2,2020,535
102058,2,2012,
102058,2,2013,
102058,2,2014,
102058,2,2015,
102058,2,2016,
102058,2,2017,
102058,2,2018,0
102058,2,2019,0
102058,2,2020,
102067,1,2012,92
102067,1,2013,1
102067,1,2014,180
102067,1,2015,271
102067,1,2016,427
102067,1,2017,475
102067,1,2018,593
102067,1,2019,651
102067,1,2020,2508
102076,1,2012,422
102076,1,2013,466
102076,1,2014,483
102076,1,2015,568
102076,1,2016,627
102076,1,2017,616
102076,1,2018,813
102076,1,2019,787
102076,1,2020,901
102094,1,2012,2211
102094,1,2013,2591
102094,1,2014,2973
102094,1,2015,3254
102094,1,2016,3444
102094,1,2017,3420
102094,1,2018,3379
102094,1,2019,3533
102094,1,2020,4123
102234,2,2012,29
102234,2,2013,24
102234,2,2014,26
102234,2,2015,40
102234,2,2016,31
102234,2,2017,49
102234,2,2018,59
102234,2,2019,79
102234,2,2020,112
102261,2,2012,0
102261,2,2013,1
102261,2,2014,0
102261,2,2015,0
102261,2,2016,0
102261,2,2017,
102270,2,2012,21
102270,2,2013,29
102270,2,2014,0
102270,2,2015,
102270,2,2016,0
102270,2,2017,58
102270,2,2018,43
102270,2,2019,78
102270,2,2020,134
102298,2,2012,0
102298,2,2013,0
102298,2,2014,0
102298,2,2015,0
102298,2,2016,32
102298,2,2017,91
102298,2,2018,102
102298,2,2019,100
102298,2,2020,113
102313,1,2012,18
102313,1,2013,13
102313,1,2014,9
102313,1,2015,6
102313,1,2016,44
102313,1,2017,36
102313,1,2018,36
102313,1,2019,71
102313,1,2020,964
102368,1,2012,3689
102368,1,2013,10303
102368,1,2014,7826
102368,1,2015,6714
102368,1,2016,6602
102368,1,2017,6518
102368,1,2018,6548
102368,1,2019,6721
102368,1,2020,8091
102377,2,2012,
102377,2,2013,
102377,2,2014,
102377,2,2015,8
102377,2,2016,12
102377,2,2017,5
102377,2,2018,3
102377,2,2019,0
102377,2,2020,2
102395,2,2012,396
102395,2,2013,342
102395,2,2014,332
102395,2,2015,314
102395,2,2016,210
102395,2,2017,241
102395,2,2018,546
102395,2,2019,499
102395,2,2020,338
102429,1,2012,249
102429,1,2013,242
102429,1,2014,290
102429,1,2015,329
102429,1,2016,351
102429,1,2017,316
